date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:48:23	160019/160019	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Apr%202025%2012:48:22%20GMT	https://academy.lamphills.com/	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/index.html	(from )
05:48:23	161/161	---M-Z	200	added ('OK')	text/plain	date:Tue,%2015%20Apr%202025%2012:48:22%20GMT	https://academy.lamphills.com/robots.txt		(from )
05:48:23	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-5b075c75d5c80-gzip%22	https://academy.lamphills.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://academy.lamphills.com/)
05:48:25	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-58ac1e7924f80-gzip%22	https://academy.lamphills.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.7.1	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-includes/js/mediaelement/wp-mediaelement.min9704.css	(from https://academy.lamphills.com/)
05:48:25	39849/39849	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f9bb2cfd9282b3cf0ed2357a13402378-gzip%22	https://academy.lamphills.com/feed/	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/feed/index.html	(from https://academy.lamphills.com/)
05:48:25	1661/1661	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f9bb2cfd9282b3cf0ed2357a13402378-gzip%22	https://academy.lamphills.com/comments/feed/	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/comments/feed/index.html	(from https://academy.lamphills.com/)
05:48:25	18143/18143	---M-Z	200	added ('OK')	text/css	etag:%2246df-630f214d3bca4-gzip%22	https://academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.7.1	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout04d4.css	(from https://academy.lamphills.com/)
05:48:25	7527/7527	---M-Z	200	added ('OK')	text/css	etag:%221d67-630f214d3c474-gzip%22	https://academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.7.1	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen04d4.css	(from https://academy.lamphills.com/)
05:48:26	85777/85777	---M-Z	200	added ('OK')	text/css	etag:%2214f11-630f214d3bca4-gzip%22	https://academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.7.1	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/woocommerce04d4.css	(from https://academy.lamphills.com/)
05:48:26	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-630f214d37a3d-gzip%22	https://academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.7.1	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/woocommerce/assets/css/brands04d4.css	(from https://academy.lamphills.com/)
05:48:26	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-62cc169076eb3-gzip%22	https://academy.lamphills.com/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/themes/hello-elementor/style.min9b70.css	(from https://academy.lamphills.com/)
05:48:27	5069/5069	---M-Z	200	added ('OK')	text/css	etag:%2213cd-62cc16907729b-gzip%22	https://academy.lamphills.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://academy.lamphills.com/)
05:48:27	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-62cc1690766e3-gzip%22	https://academy.lamphills.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/themes/hello-elementor/header-footer.min9b70.css	(from https://academy.lamphills.com/)
05:48:27	53275/53275	---M-Z	200	added ('OK')	text/css	etag:%22d01b-631dd71e3af71-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/css/frontend.min87cc.css	(from https://academy.lamphills.com/)
05:48:28	5307/5307	---M-Z	200	added ('OK')	text/css	etag:%2214bb-631dd745eb36e-gzip%22	https://academy.lamphills.com/wp-content/uploads/elementor/css/post-8.css?ver=1743677070	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/uploads/elementor/css/post-8c0cc.css	(from https://academy.lamphills.com/)
05:48:29	254/254	---M-Z	200	added ('OK')	text/css	etag:%22fe-631dd71e41501-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-image.min87cc.css	(from https://academy.lamphills.com/)
05:48:29	26891/26891	---M-Z	200	added ('OK')	text/css	etag:%22690b-631dd70f6c018-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.28.2	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min414b.css	(from https://academy.lamphills.com/)
05:48:30	10310/10310	---M-Z	200	added ('OK')	text/css	etag:%222846-631dd71e41119-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min87cc.css	(from https://academy.lamphills.com/)
05:48:30	162/162	---M-Z	200	added ('OK')	text/css	etag:%22a2-631dd70f70280-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.28.2	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min414b.css	(from https://academy.lamphills.com/)
05:48:30	6798/6798	---M-Z	200	added ('OK')	text/css	etag:%221a8e-631dd70f7603f-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.28.2	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-form.min414b.css	(from https://academy.lamphills.com/)
05:48:31	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-631dd71e40d31-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/css/widget-heading.min87cc.css	(from https://academy.lamphills.com/)
05:48:31	130/130	---M-Z	200	added ('OK')	text/css	etag:%2282-631dd71e902b4-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min87cc.css	(from https://academy.lamphills.com/)
05:48:32	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-631dd71ea3f1b-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://academy.lamphills.com/)
05:48:32	5486/5486	---M-Z	200	added ('OK')	text/css	etag:%22156e-631dd71e38479-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.28.3	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min87cc.css	(from https://academy.lamphills.com/)
05:48:32	2386/2386	---M-Z	200	added ('OK')	text/css	etag:%22952-631dd70f6db70-gzip%22	https://academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css?ver=3.28.2	C:/My%20Web%20Sites/bnnn/academy.lamphills.com/wp-content/plugins/elementor-pro/assets/css/widget-slides.min414b.css	(from https://academy.lamphills.com/)
